Designator,Mid X,Mid Y,Layer,Rotation
D2,342.5,157.5,Top,0
IC6,367.92,123.63,Top,0
U1,326.9,169.5,Top,90
C4,316.6,175.2,Top,90
C5,324.2,161.1,Top,180
C6,326.5,177.2,Top,270
C8,326.5,118.8,Top,90
C9,326.6,115.2,Top,90
C10,326.6,111.8,Top,90
C11,331.5,177.3,Top,270
C12,337.1,179.9,Top,90
C15,349.6,157.2,Top,90
C16,359.9,176.5,Top,90
C17,361.4,105.4,Top,90
C18,372.5,106.2,Top,90
C19,380.7,104,Top,270
C14,344.4,124.9,Top,270
IC7,380.25,115,Top,270
LED1,313.4,144.4,Top,270
IC2,341.1,172,Top,180
U2,367.82,113.67,Top,0
U4,382.5,175.4,Top,270
U5,382,163.9,Top,270
IC3,357.5,161.4,Top,90
IC5,368.1,161.4,Top,90
R1,304.3,172.34,Top,180
R2,304.3,168.94,Top,180
R3,304.4,165.5,Top,180
R4,313.4,147.7,Top,0
R5,316.6,171.2,Top,180
R6,346.1,160.9,Top,0
R7,361.2,121.2,Top,0
R8,361.2,124.4,Top,0
R9,368.2,171.2,Top,0
R10,375.7,179.3,Top,180
R11,375.8,174.7,Top,180
R12,376,171.3,Top,180
R13,377,163.2,Top,180
R14,377.1,159.7,Top,180
R15,375.9,124.2,Top,0
R16,376,121,Top,0
R17,378.2,106.8,Top,0
R18,380.9,179.2,Top,0
R19,382,167.8,Top,180
R20,382.8,106.8,Top,180
R21,384.6,115.2,Top,0
R22,384.6,111.1,Top,180
IC4,359.81,171.53,Top,0
D1,312.1,138,Top,0
D3,353.4,134.6,Top,0
L1,308.3,127.8,Top,0
C1,303.7,151.3,Top,0
C2,303.6,145.4,Top,0
C3,303.7,139.3,Top,0
C13,344.3,135.5,Top,0
C7,326.1,128.2,Top,0
X1,329,158.9,Top,270
X2,351.8,177.7,Top,180
LD1,344.1,130.1,Top,0
IC1,317.92,114.43,Top,0
